,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
31,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia
32,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia
33,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia
34,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia
35,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia
36,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia
37,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia
38,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia
39,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
40,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia
41,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia
42,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia
43,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia
44,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia
45,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia
46,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia
47,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia
48,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia
49,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia
50,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia
51,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia
52,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia
53,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia
54,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia
55,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia
56,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia
57,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia
58,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia
59,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia
60,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia
61,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia
62,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia
63,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia
64,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
65,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia
66,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia
67,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia
68,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia
69,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia
70,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia
71,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia
72,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia
73,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia
74,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia
75,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia
76,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
77,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia
78,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia
79,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia
80,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia
81,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia
82,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
83,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia
84,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia
85,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia
86,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia
87,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia
88,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia
89,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia
90,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
91,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia
92,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
93,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia
94,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia
95,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
96,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
97,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
98,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
99,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
100,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia
101,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia
102,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
103,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
104,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
105,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
106,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
107,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
108,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
109,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
110,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
111,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
112,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
113,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
114,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
115,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
116,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
117,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
118,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
119,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
120,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
121,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
122,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
123,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
124,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
125,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
126,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
127,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
128,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
129,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
130,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
131,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
132,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
133,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
134,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
135,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
136,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
137,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
138,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
139,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
140,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
141,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
142,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
143,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
144,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
145,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
146,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
147,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
148,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
149,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
150,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
151,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
152,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
153,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
154,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
155,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
156,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
157,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
158,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
159,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
160,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
161,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
162,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
163,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
164,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
165,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
166,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
167,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,38041757.0,Asia
168,25/06/2020,25,6,2020,67,2,Albania,AL,ALB,2862427.0,Europe
169,24/06/2020,24,6,2020,52,1,Albania,AL,ALB,2862427.0,Europe
170,23/06/2020,23,6,2020,68,0,Albania,AL,ALB,2862427.0,Europe
171,22/06/2020,22,6,2020,36,1,Albania,AL,ALB,2862427.0,Europe
172,21/06/2020,21,6,2020,53,1,Albania,AL,ALB,2862427.0,Europe
173,20/06/2020,20,6,2020,50,3,Albania,AL,ALB,2862427.0,Europe
174,19/06/2020,19,6,2020,66,1,Albania,AL,ALB,2862427.0,Europe
175,18/06/2020,18,6,2020,50,1,Albania,AL,ALB,2862427.0,Europe
176,17/06/2020,17,6,2020,82,1,Albania,AL,ALB,2862427.0,Europe
177,16/06/2020,16,6,2020,69,0,Albania,AL,ALB,2862427.0,Europe
178,15/06/2020,15,6,2020,57,0,Albania,AL,ALB,2862427.0,Europe
179,14/06/2020,14,6,2020,48,0,Albania,AL,ALB,2862427.0,Europe
180,13/06/2020,13,6,2020,31,1,Albania,AL,ALB,2862427.0,Europe
181,12/06/2020,12,6,2020,44,1,Albania,AL,ALB,2862427.0,Europe
182,11/06/2020,11,6,2020,42,0,Albania,AL,ALB,2862427.0,Europe
183,10/06/2020,10,6,2020,36,0,Albania,AL,ALB,2862427.0,Europe
184,09/06/2020,9,6,2020,17,0,Albania,AL,ALB,2862427.0,Europe
185,08/06/2020,8,6,2020,14,0,Albania,AL,ALB,2862427.0,Europe
186,07/06/2020,7,6,2020,20,1,Albania,AL,ALB,2862427.0,Europe
187,06/06/2020,6,6,2020,15,0,Albania,AL,ALB,2862427.0,Europe
188,05/06/2020,5,6,2020,13,0,Albania,AL,ALB,2862427.0,Europe
189,04/06/2020,4,6,2020,20,0,Albania,AL,ALB,2862427.0,Europe
190,03/06/2020,3,6,2020,21,0,Albania,AL,ALB,2862427.0,Europe
191,02/06/2020,2,6,2020,6,0,Albania,AL,ALB,2862427.0,Europe
192,01/06/2020,1,6,2020,15,0,Albania,AL,ALB,2862427.0,Europe
193,31/05/2020,31,5,2020,23,0,Albania,AL,ALB,2862427.0,Europe
194,30/05/2020,30,5,2020,23,0,Albania,AL,ALB,2862427.0,Europe
195,29/05/2020,29,5,2020,26,0,Albania,AL,ALB,2862427.0,Europe
196,28/05/2020,28,5,2020,21,0,Albania,AL,ALB,2862427.0,Europe
197,27/05/2020,27,5,2020,25,1,Albania,AL,ALB,2862427.0,Europe
198,26/05/2020,26,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
199,25/05/2020,25,5,2020,9,1,Albania,AL,ALB,2862427.0,Europe
200,24/05/2020,24,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
201,23/05/2020,23,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
202,22/05/2020,22,5,2020,5,0,Albania,AL,ALB,2862427.0,Europe
203,21/05/2020,21,5,2020,15,0,Albania,AL,ALB,2862427.0,Europe
204,20/05/2020,20,5,2020,1,0,Albania,AL,ALB,2862427.0,Europe
205,19/05/2020,19,5,2020,2,0,Albania,AL,ALB,2862427.0,Europe
206,18/05/2020,18,5,2020,13,0,Albania,AL,ALB,2862427.0,Europe
207,17/05/2020,17,5,2020,17,0,Albania,AL,ALB,2862427.0,Europe
208,16/05/2020,16,5,2020,18,0,Albania,AL,ALB,2862427.0,Europe
209,15/05/2020,15,5,2020,18,0,Albania,AL,ALB,2862427.0,Europe
210,14/05/2020,14,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
211,13/05/2020,13,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
212,12/05/2020,12,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
213,11/05/2020,11,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
214,10/05/2020,10,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
215,09/05/2020,9,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
216,08/05/2020,8,5,2020,10,0,Albania,AL,ALB,2862427.0,Europe
217,07/05/2020,7,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
218,06/05/2020,6,5,2020,17,0,Albania,AL,ALB,2862427.0,Europe
219,05/05/2020,5,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
220,04/05/2020,4,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
221,03/05/2020,3,5,2020,7,0,Albania,AL,ALB,2862427.0,Europe
222,02/05/2020,2,5,2020,9,0,Albania,AL,ALB,2862427.0,Europe
223,01/05/2020,1,5,2020,7,0,Albania,AL,ALB,2862427.0,Europe
224,30/04/2020,30,4,2020,16,1,Albania,AL,ALB,2862427.0,Europe
225,29/04/2020,29,4,2020,14,2,Albania,AL,ALB,2862427.0,Europe
226,28/04/2020,28,4,2020,10,0,Albania,AL,ALB,2862427.0,Europe
227,27/04/2020,27,4,2020,14,1,Albania,AL,ALB,2862427.0,Europe
228,26/04/2020,26,4,2020,34,0,Albania,AL,ALB,2862427.0,Europe
229,25/04/2020,25,4,2020,15,0,Albania,AL,ALB,2862427.0,Europe
230,24/04/2020,24,4,2020,29,0,Albania,AL,ALB,2862427.0,Europe
231,23/04/2020,23,4,2020,25,1,Albania,AL,ALB,2862427.0,Europe
232,22/04/2020,22,4,2020,25,0,Albania,AL,ALB,2862427.0,Europe
233,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2862427.0,Europe
234,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2862427.0,Europe
235,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2862427.0,Europe
236,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2862427.0,Europe
237,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2862427.0,Europe
238,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2862427.0,Europe
239,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2862427.0,Europe
240,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2862427.0,Europe
241,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2862427.0,Europe
242,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2862427.0,Europe
243,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2862427.0,Europe
244,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2862427.0,Europe
245,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2862427.0,Europe
246,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2862427.0,Europe
247,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2862427.0,Europe
248,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2862427.0,Europe
249,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2862427.0,Europe
250,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2862427.0,Europe
251,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2862427.0,Europe
252,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2862427.0,Europe
253,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2862427.0,Europe
254,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2862427.0,Europe
255,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2862427.0,Europe
256,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2862427.0,Europe
257,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2862427.0,Europe
258,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2862427.0,Europe
259,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2862427.0,Europe
260,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2862427.0,Europe
261,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2862427.0,Europe
262,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2862427.0,Europe
263,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2862427.0,Europe
264,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2862427.0,Europe
265,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2862427.0,Europe
266,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2862427.0,Europe
267,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
268,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2862427.0,Europe
269,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
270,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2862427.0,Europe
271,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2862427.0,Europe
272,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2862427.0,Europe
273,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2862427.0,Europe
274,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
275,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
276,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2862427.0,Europe
277,25/06/2020,25,6,2020,172,8,Algeria,DZ,DZA,43053054.0,Africa
278,24/06/2020,24,6,2020,156,9,Algeria,DZ,DZA,43053054.0,Africa
279,23/06/2020,23,6,2020,149,7,Algeria,DZ,DZA,43053054.0,Africa
280,22/06/2020,22,6,2020,140,8,Algeria,DZ,DZA,43053054.0,Africa
281,21/06/2020,21,6,2020,127,12,Algeria,DZ,DZA,43053054.0,Africa
282,20/06/2020,20,6,2020,119,14,Algeria,DZ,DZA,43053054.0,Africa
283,19/06/2020,19,6,2020,117,12,Algeria,DZ,DZA,43053054.0,Africa
284,18/06/2020,18,6,2020,121,11,Algeria,DZ,DZA,43053054.0,Africa
285,17/06/2020,17,6,2020,116,11,Algeria,DZ,DZA,43053054.0,Africa
286,16/06/2020,16,6,2020,112,10,Algeria,DZ,DZA,43053054.0,Africa
287,15/06/2020,15,6,2020,109,7,Algeria,DZ,DZA,43053054.0,Africa
288,14/06/2020,14,6,2020,112,9,Algeria,DZ,DZA,43053054.0,Africa
289,13/06/2020,13,6,2020,109,10,Algeria,DZ,DZA,43053054.0,Africa
290,12/06/2020,12,6,2020,105,9,Algeria,DZ,DZA,43053054.0,Africa
291,11/06/2020,11,6,2020,102,8,Algeria,DZ,DZA,43053054.0,Africa
292,10/06/2020,10,6,2020,117,9,Algeria,DZ,DZA,43053054.0,Africa
293,09/06/2020,9,6,2020,111,8,Algeria,DZ,DZA,43053054.0,Africa
294,08/06/2020,8,6,2020,104,9,Algeria,DZ,DZA,43053054.0,Africa
295,07/06/2020,7,6,2020,115,8,Algeria,DZ,DZA,43053054.0,Africa
296,06/06/2020,6,6,2020,104,9,Algeria,DZ,DZA,43053054.0,Africa
297,05/06/2020,5,6,2020,205,14,Algeria,DZ,DZA,43053054.0,Africa
298,04/06/2020,4,6,2020,0,0,Algeria,DZ,DZA,43053054.0,Africa
299,03/06/2020,3,6,2020,113,6,Algeria,DZ,DZA,43053054.0,Africa
300,02/06/2020,2,6,2020,119,8,Algeria,DZ,DZA,43053054.0,Africa
301,01/06/2020,1,6,2020,127,7,Algeria,DZ,DZA,43053054.0,Africa
302,31/05/2020,31,5,2020,133,8,Algeria,DZ,DZA,43053054.0,Africa
303,30/05/2020,30,5,2020,137,8,Algeria,DZ,DZA,43053054.0,Africa
304,29/05/2020,29,5,2020,140,7,Algeria,DZ,DZA,43053054.0,Africa
305,28/05/2020,28,5,2020,160,6,Algeria,DZ,DZA,43053054.0,Africa
306,27/05/2020,27,5,2020,194,8,Algeria,DZ,DZA,43053054.0,Africa
307,26/05/2020,26,5,2020,197,9,Algeria,DZ,DZA,43053054.0,Africa
308,25/05/2020,25,5,2020,193,8,Algeria,DZ,DZA,43053054.0,Africa
309,24/05/2020,24,5,2020,195,10,Algeria,DZ,DZA,43053054.0,Africa
310,23/05/2020,23,5,2020,190,7,Algeria,DZ,DZA,43053054.0,Africa
311,22/05/2020,22,5,2020,186,7,Algeria,DZ,DZA,43053054.0,Africa
312,21/05/2020,21,5,2020,165,7,Algeria,DZ,DZA,43053054.0,Africa
313,20/05/2020,20,5,2020,176,6,Algeria,DZ,DZA,43053054.0,Africa
314,19/05/2020,19,5,2020,182,7,Algeria,DZ,DZA,43053054.0,Africa
315,18/05/2020,18,5,2020,198,6,Algeria,DZ,DZA,43053054.0,Africa
316,17/05/2020,17,5,2020,192,6,Algeria,DZ,DZA,43053054.0,Africa
317,16/05/2020,16,5,2020,187,7,Algeria,DZ,DZA,43053054.0,Africa
318,15/05/2020,15,5,2020,189,7,Algeria,DZ,DZA,43053054.0,Africa
319,14/05/2020,14,5,2020,186,7,Algeria,DZ,DZA,43053054.0,Africa
320,13/05/2020,13,5,2020,176,8,Algeria,DZ,DZA,43053054.0,Africa
321,12/05/2020,12,5,2020,168,5,Algeria,DZ,DZA,43053054.0,Africa
322,11/05/2020,11,5,2020,165,8,Algeria,DZ,DZA,43053054.0,Africa
323,10/05/2020,10,5,2020,189,6,Algeria,DZ,DZA,43053054.0,Africa
